2018 Rank,City,State,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (km2),2016 Population Density (sq mi),2016 Population Density (km2),Location (N),Location (W)
197,Waco,Texas,138183.0,124805.0,10.72,89.0,230.5,1510.0,580.0,31.5601,97.186
198,Surprise,Arizona,138161.0,117517.0,17.57,107.9,279.5,1230.0,470.0,33.6706,112.4527
199,Carrollton,Texas,136879.0,119097.0,14.93,36.3,94.0,3674.0,1419.0,32.9884,96.8998
200,West Valley City,Utah,136401.0,129480.0,5.35,35.5,91.9,3847.0,1485.0,40.6885,112.0118
201,Charleston,South Carolina,136208.0,120083.0,13.43,109.0,282.3,1233.0,476.0,32.8179,79.959
202,Warren,Michigan,134587.0,134056.0,0.4,34.4,89.1,3928.0,1517.0,42.4929,83.025
203,Hampton,Virginia,134313.0,137436.0,-2.27,51.5,133.4,2629.0,1015.0,37.048,76.2971
204,Gainesville,Florida,133857.0,124354.0,7.64,62.3,161.4,2112.0,815.0,29.6788,82.3461
205,Visalia,California,133800.0,124442.0,7.52,37.5,97.1,3495.0,1349.0,36.3273,119.3289
206,Coral Springs,Florida,133507.0,121096.0,10.25,23.8,61.6,5465.0,2110.0,26.2707,80.2593
207,Columbia,South Carolina,133451.0,129272.0,3.23,133.5,345.8,1006.0,388.0,34.0291,80.898
208,Cedar Rapids,Iowa,133174.0,126326.0,5.42,70.8,183.4,1852.0,715.0,41.967,91.6778
209,Sterling Heights,Michigan,132964.0,129699.0,2.52,36.5,94.5,3628.0,1401.0,42.5812,83.0303
210,New Haven,Connecticut,130418.0,129779.0,0.49,18.7,48.4,6948.0,2683.0,41.3108,72.925
211,Stamford,Connecticut,129775.0,122643.0,5.82,37.6,97.4,3434.0,1326.0,41.0799,73.546
212,Concord,California,129688.0,122067.0,6.24,30.5,79.0,4221.0,1630.0,37.9722,122.0016
213,Kent,Washington,129618.0,92411.0,40.26,33.7,87.3,3784.0,1461.0,47.388,122.2127
214,Santa Clara,California,129488.0,116468.0,11.18,18.4,47.7,6845.0,2643.0,37.3646,121.9679
215,Elizabeth,New Jersey,128885.0,124969.0,3.13,12.3,31.9,10459.0,4038.0,40.6664,74.1935
216,Round Rock,Texas,128739.0,99887.0,28.88,35.6,92.2,3396.0,1311.0,30.5252,97.666
217,Thousand Oaks,California,127690.0,126683.0,0.79,55.2,143.0,2335.0,902.0,34.1933,118.8742
218,Lafayette,Louisiana,126143.0,120623.0,4.58,53.8,139.3,2372.0,916.0,30.2074,92.0285
219,Athens,Georgia,125964.0,115452.0,9.11,116.4,301.5,1060.0,410.0,33.9496,83.3701
220,Topeka,Kansas,125904.0,127473.0,-1.23,61.5,159.3,2062.0,796.0,39.0347,95.6962
221,Simi Valley,California,125851.0,124237.0,1.3,41.5,107.5,3044.0,1175.0,34.2669,118.7485
222,Fargo, North Dakota,124844.0,105549.0,18.28,49.3,127.7,2450.0,950.0,46.8652,96.829
223,Norman,Oklahoma,123471.0,110925.0,11.31,178.8,463.1,683.0,264.0,35.2406,97.3453
224,Columbia,Missouri,123180.0,108500.0,13.53,65.0,168.3,1856.0,717.0,38.951561,92.328638
225,Abilene,Texas,122999.0,117063.0,5.07,106.7,276.4,1146.0,442.0,32.4545,99.7381
226,Wilmington,North Carolina,122607.0,106476.0,15.15,51.6,133.6,2278.0,880.0,34.2092,77.8858
227,Hartford,Connecticut,122587.0,124775.0,-1.75,17.4,45.1,7083.0,2735.0,41.7659,72.6816
228,Victorville,California,122312.0,115903.0,5.53,73.3,189.8,1668.0,644.0,34.5277,117.3536
229,Pearland,Texas,122149.0,91252.0,33.86,46.3,119.9,2453.0,947.0,29.5558,95.3231
230,Vallejo,California,121913.0,115942.0,5.15,30.7,79.5,3951.0,1525.0,38.1079,122.264
231,Ann Arbor,Michigan,121890.0,113934.0,6.98,28.1,72.8,4298.0,1659.0,42.2761,83.7309
232,Berkeley,California,121643.0,112580.0,8.05,10.5,27.2,11547.0,4458.0,37.867,122.2991
233,Allentown,Pennsylvania,121433.0,118032.0,2.88,17.5,45.3,6882.0,2657.0,40.5936,75.4784
234,Richardson,Texas,120981.0,99223.0,21.93,28.6,74.1,3963.0,1530.0,32.9723,96.7081
235,Odessa,Texas,120568.0,99940.0,20.64,45.2,117.1,2608.0,1007.0,31.8838,102.3411
236,Arvada,Colorado,120492.0,106433.0,13.21,38.6,100.0,3043.0,1175.0,39.8337,105.1503
237,Cambridge,Massachusetts,118977.0,105162.0,13.14,6.4,16.6,17289.0,6675.0,42.376,71.1187
238,Sugar Land,Texas,118600.0,91252.0,29.97,34.0,88.1,3488.0,1347.0,29.5994,95.6142
239,Beaumont,Texas,118428.0,118296.0,0.11,82.1,212.6,1441.0,556.0,30.0849,94.1453
240,Lansing,Michigan,118427.0,114297.0,3.61,39.1,101.3,2967.0,1146.0,42.7143,84.5593
241,Evansville,Indiana,117963.0,117429.0,0.45,47.3,122.5,2526.0,975.0,37.9877,87.5347
242,Rochester,Minnesota,116961.0,106769.0,9.55,54.6,141.4,2088.0,806.0,44.0154,92.4772
243,Independence,Missouri,116925.0,116830.0,0.08,77.8,201.5,1504.0,581.0,39.0855,94.3521
244,Fairfield,California,116884.0,105321.0,10.98,40.9,105.9,2806.0,1083.0,38.2593,122.0321
245,Provo,Utah,116702.0,112488.0,3.75,41.7,108.0,2803.0,1082.0,40.2453,111.6448
246,Clearwater,Florida,116478.0,107685.0,8.17,25.9,67.1,4415.0,1705.0,27.9789,82.7666
247,College Station,Texas,116218.0,93857.0,23.82,51.0,132.1,2199.0,849.0,30.5852,96.2964
248,West Jordan,Utah,116046.0,103712.0,11.89,32.3,83.7,3520.0,1360.0,40.6024,112.0008
249,Carlsbad,California,115877.0,105328.0,10.02,37.7,97.6,3023.0,1167.0,33.1239,117.2828
250,El Monte,California,115586.0,113475.0,1.86,9.6,24.9,12063.0,4658.0,34.0746,118.0291
251,Murrieta,California,114985.0,103466.0,11.13,33.6,87.0,3324.0,1283.0,33.5721,117.1904
252,Temecula,California,114742.0,100097.0,14.63,37.3,96.6,3031.0,1170.0,33.4931,117.1317
253,Springfield,Illinois,114694.0,116250.0,-1.34,60.1,155.7,1925.0,743.0,39.7911,89.6446
254,Palm Bay,Florida,114194.0,103190.0,10.66,65.7,170.2,1676.0,647.0,27.9856,80.6626
255,Costa Mesa,California,113615.0,109960.0,3.32,15.7,40.7,7186.0,2775.0,33.6659,117.9123
256,Westminster,Colorado,113479.0,106114.0,6.94,31.7,82.1,3592.0,1387.0,39.8822,105.0644
257,North Charleston,South Carolina,113237.0,97471.0,16.18,73.7,190.9,1483.0,573.0,32.9178,80.065
258,Miami Gardens,Florida,113069.0,107167.0,5.51,18.2,47.1,6212.0,2398.0,25.9489,80.2436
259,Manchester,New Hampshire,112525.0,109565.0,2.7,33.1,85.7,3339.0,1289.0,42.9849,71.4441
260,High Point,North Carolina,112316.0,104371.0,7.61,55.2,143.0,2015.0,778.0,35.99,79.9905
261,Downey,California,112269.0,111772.0,0.44,12.4,32.1,9134.0,3527.0,33.9382,118.1309
262,Clovis,California,112022.0,95631.0,17.14,24.2,62.7,4404.0,1700.0,36.8282,119.6849
263,Pompano Beach,Florida,111954.0,99845.0,12.13,24.0,62.2,4558.0,1760.0,26.2416,80.1339
264,Pueblo,Colorado,111750.0,106595.0,4.84,53.6,138.8,2058.0,795.0,38.2699,104.6123
265,Elgin,Illinois,111683.0,108188.0,3.23,37.4,96.9,2998.0,1158.0,42.0396,88.3217
266,Lowell,Massachusetts,111670.0,106519.0,4.84,13.6,35.2,8129.0,3139.0,42.639,71.3211
267,Antioch,California,111535.0,102372.0,8.95,29.4,76.1,3772.0,1456.0,37.9791,121.7962
268,West Palm Beach,Florida,111398.0,99919.0,11.49,55.1,142.7,1963.0,758.0,26.7464,80.1251
269,Peoria,Illinois,111388.0,115007.0,-3.15,48.2,124.8,2371.0,915.0,40.7515,89.6174
270,Everett,Washington,111262.0,103019.0,8.0,33.3,86.2,3275.0,1264.0,47.9566,122.1914
271,Ventura,California,111128.0,106433.0,4.41,21.8,56.5,5027.0,1941.0,34.2678,119.2542
272,Centennial,Colorado,110831.0,100377.0,10.41,29.5,76.4,3727.0,1439.0,39.5906,104.8691
273,Lakeland,Florida,110516.0,97422.0,13.44,65.9,170.7,1615.0,624.0,28.0555,81.9549
274,Gresham,Oregon,110158.0,105594.0,4.32,23.3,60.3,4786.0,1848.0,45.5023,122.4416
